"External ID","Nome","Categoria","Costo","Prezzo di Vendita","Quantità in possesso","Quantità prevista","Riferimento interno","Sequenza","Tipo Prodotto","Unità di misura"
"__export__.product_template_2933_2ee06c5e","'-#","__export__.product_category_3","0.0","1.0","0.0","0.0","H-9-3","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3367_185f2614","'-#","__export__.product_category_3","0.0","1.0","0.0","0.0","P-8-2","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3368_63d52d99","'-#","__export__.product_category_3","0.0","1.0","0.0","0.0","P-8-3","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3371_73ce10a9","'-#","__export__.product_category_3","0.0","1.0","0.0","0.0","P-9-4","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3112_1bcee8bd","'-#","__export__.product_category_3","0.0","1.0","0.0","0.0","H-9-2","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3287_fbd744ce","0.500ohm, Resistor, 0603, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2256_706dc62a","0R1 0.1 ohm, Resistor, 0.1%, 500mW, 1210, SMD","__export__.product_category_17","0.0","1.0","0.0","0.0","Prod","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3969_fe71ce4b","1000.0001,  100 Ohm, 0402, 1%, SMD (RC0402FR-07100RL Yageo)","__export__.product_category_25_3bd84a2e","0.0","0.0","10000.0","10000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3970_63bc31cc","1000.0002 1K, 0402, 1%, SMD (RC0402FR-071KL Yageo)","__export__.product_category_25_3bd84a2e","0.0","0.0","10000.0","10000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3971_788a1d28","1000.0003 10K, 0402, 1%, SMD (RC0402FR-0710KL Yageo)","__export__.product_category_25_3bd84a2e","0.0","0.0","10000.0","10000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3972_32dbb1d6","1000.0004 33K, 0402, 1%, SMD (RC0402FR-0733KL Yageo)","__export__.product_category_25_3bd84a2e","0.0","0.0","10000.0","10000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3973_81acf82d","1000.0005 100K, 0402, 1%, SMD (RC0402FR-07100KL Yageo)","__export__.product_category_25_3bd84a2e","0.0","0.0","10000.0","10000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3974_7191628a","1000.0006 RES, 330K, 0402, 1%, SMD (RC0402FR-07330KL Yageo)","__export__.product_category_9","0.0","0.0","10000.0","10000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3975_9d328afc","1000.0007 Res, 820K, 0402, 1%, SMD (RC0402FR-07820KL Yageo)","__export__.product_category_9","0.0","0.0","10000.0","10000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3980_93d03b9b","1000.0008, Res, 0 Ohm, 0402, SMD (RC0402JR-070RL Yageo)","__export__.product_category_25_3bd84a2e","0.0","0.0","10000.0","10000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3981_266a73ed","1000.0009, Res, 270 Ohm, 0201, SMD (ERJ-1GNF2700C)","__export__.product_category_25_3bd84a2e","0.0","0.0","10500.0","10500.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3982_e0d86bdb","1000.0010, Res, 1K, 0201, 1%, SMD (RC0201FR-071KL Yageo)","__export__.product_category_25_3bd84a2e","0.0","0.0","10000.0","10000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3983_96e4454f","1000.0011, Res, 2.2K, 0402, 1%, SMD (RC0402FR-072K2L Yageo)","__export__.product_category_25_3bd84a2e","0.0","0.0","20000.0","20000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3984_84a8968e","1000.0012, Res, 4.7K, 0402, 1%, SMD, (RC0402FR-074K7L Yageo)","__export__.product_category_25_3bd84a2e","0.0","0.0","10000.0","10000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3985_1a291aca","1000.0013, Res, 220K, 0402, 1%, SMD (RC0402FR-07220KL Yageo)","__export__.product_category_25_3bd84a2e","0.0","0.0","10000.0","10000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3995_b08940ce","1000.0014, 100 KOhm, 0201, 1%, SMD (WR02X1003FAL WALSIN)","__export__.product_category_25_3bd84a2e","0.01","0.0","300.0","600.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3997_b5e2351d","1000.0015, 1.5 Ohm, 0402, 1%, SMD (RK73H1ETTP1R50F KOA SPEER ELECTRONICS)","__export__.product_category_25_3bd84a2e","0.0076","0.0","300.0","600.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4000_966fd01e","1000.0016, 5.6Ohm, 1210, 5%, SMD (ERJ14YJ5R6U PANASONIC)","__export__.product_category_25_3bd84a2e","0.047533","0.0","150.0","300.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4034_2a7ec2f0","1000.0017, 0.002Ohm, 1206, SMD (AC1206JR-072ML)","__export__.product_category_25_3bd84a2e","0.0","1.0","500.0","500.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4035_b4f6264b","1000.0018, 33 Ohm, 0402, SMD ( SFR01MZPJ330 )","__export__.product_category_25_3bd84a2e","0.0","1.0","500.0","500.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4036_b8c92840","1000.0019, 22 KOhm, 0402, SMD ( RCG040222K0JNED)","__export__.product_category_25_3bd84a2e","0.0","1.0","500.0","500.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4037_a73468b8","1000.0020, 120 KOhm, 0402,  SMD ( CRCW0402120KFKEDC )","__export__.product_category_25_3bd84a2e","0.0","1.0","500.0","500.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3350_0704f391","10.0000MHz, Crystal, HC49, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","Q-5-1","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3061_13e827df","1000pF, Capacitor, NP0, 50V, 0603, SMD -$","__export__.product_category_3","0.0","1.0","0.0","0.0","P-1-2","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2518_67e190c5","1002008-902 SEB COMPLETO/SEB ASSEMBLED (3 measuring points)","__export__.product_category_17","0.0","1.0","0.0","0.0","Disp","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_1767_86fa2869","100k 100000ohm, Resistor,  1%, 0603, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2792_72810452","100K 100000ohm, Resistor, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","S-1-1","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3689_dfc7e811"," 100nF, Capacitor, 50V, 0603, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","Z-3-12","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3276_a8e8ae83","100nF, Capacitor, MLCC, X7R, 50V, Radial, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","S-4-4","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2919_e92cb004","100nF, Capacitor, Polyester, Radial, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","S-4-4","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3554_27b31fa6","100nF, Capacitor, Y5V, 16V, 0603, SMD","__export__.product_category_17","0.0","1.0","'-450.0","'-450.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
